Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	2047	34:07:00	2047	34:07:00	1E	1E	0F	0F	8F	97	0D	0D
5/22/2008	573	9:33	2047	34:07:00	1B	FF	0D	0F	33	98	0D	0D
5/23/2008	2047	34:07:00	2047	34:07:00	1C	FF	0D	17	2F	41	0D	0D
5/24/2008	2047	34:07:00	2047	34:07:00	40	FF	0D	0E	33	3E	0D	0D
5/25/2008	2047	34:07:00	2047	34:07:00	E6	FF	0D	0F	37	40	0D	0D
5/26/2008	2047	34:07:00	2047	34:07:00	1A	FF	0D	0E	23	3E	0D	0D
5/27/2008	2047	34:07:00	2047	34:07:00	88	FF	0D	0D	20	26	0D	0D
5/28/2008	2047	34:07:00	2047	34:07:00	E4	FF	0D	0D	23	2E	0D	0D
5/29/2008	2047	34:07:00	2047	34:07:00	1E	FF	0D	0D	24	2C	0D	0D
5/30/2008	2047	34:07:00	2047	34:07:00	19	FF	0D	0E	23	30	0D	0D
5/31/2008	2047	34:07:00	2047	34:07:00	34	FF	0D	0E	22	32	0D	0D
6/1/2008	2047	34:07:00	2047	34:07:00	1F	FF	0D	0E	24	2D	0D	0D
6/2/2008	2047	34:07:00	1218	20:18	18	FF	0D	0E	25	2D	0D	0D
6/3/2008	248	4:08	990	16:30	19	FF	0E	0F	23	2F	0D	0D
6/4/2008	417	6:57	791	13:11	18	FF	0D	0E	27	31	0D	0D
6/5/2008	578	9:38	972	16:12	18	D6	0E	0E	2B	31	0D	0D
6/6/2008	271	4:31	2047	34:07:00	19	FF	0E	0F	2D	34	0D	0D
6/7/2008	2047	34:07:00	2047	34:07:00	1B	FF	0E	0F	2E	38	0D	0D
6/8/2008	2047	34:07:00	2047	34:07:00	C4	FF	0D	0E	32	35	0D	0D
6/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	32	3D	0D	0D
6/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	35	39	0D	0D
6/11/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	37	3C	0D	0D
6/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	38	40	0D	0D
6/13/2008	2047	34:07:00	2047	34:07:00	B3	FF	0E	0E	3A	41	0D	0D
6/14/2008	2047	34:07:00	2047	34:07:00	2A	FF	0E	0E	3B	46	0D	0D
6/15/2008	2047	34:07:00	2047	34:07:00	5A	FF	0E	0E	3B	42	0D	0D
6/16/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3C	4B	0D	0D
6/17/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	3E	4D	0D	0D
6/18/2008	2047	34:07:00	2047	34:07:00	8E	FF	0E	0E	3F	47	0D	0D
6/19/2008	2047	34:07:00	2047	34:07:00	2C	FF	0E	0E	3E	41	0D	0D
6/20/2008	2047	34:07:00	2047	34:07:00	1C	FF	0E	0F	3E	46	0D	0D
6/21/2008	2047	34:07:00	2047	34:07:00	27	FF	0E	0E	41	44	0D	0D
6/22/2008	2047	34:07:00	2047	34:07:00	94	FF	0E	0E	42	45	0D	0D
6/23/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	42	4D	0D	0D
6/24/2008	2047	34:07:00	2047	34:07:00	84	FF	0E	0E	48	4E	0D	0D
6/25/2008	2047	34:07:00	2047	34:07:00	37	FF	0E	0E	49	52	0D	0D
6/26/2008	2047	34:07:00	2047	34:07:00	1D	FF	0E	0F	46	4C	0D	0D
6/27/2008	2047	34:07:00	2047	34:07:00	1C	FF	0E	0F	45	4C	0D	0D
6/28/2008	2047	34:07:00	2047	34:07:00	44	FF	0E	0F	4A	4F	0D	0D
6/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	4D	59	0D	0D
6/30/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	52	5D	0D	0D
7/1/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	55	60	0D	0D
7/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	58	63		
