Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/5/2007	1023	17:03	2047	34:07:00	FF	FF	10	10	46	46	11	1B
5/21/2007	1023	17:03	2047	34:07:00	 	 	 	 	47	47	11	1B
5/29/2007	1229	20:29	1163	19:23	11	FF	0F	19	 	 	 	 
5/30/2007	1023	17:03	2047	34:07:00	54	CB	56	4D	 	 	 	 
5/31/2007	1023	17:03	2047	34:07:00	 	 	 	 	3C	46	11	11
6/1/2007	1023	17:03	2047	34:07:00	 	 	 	 	3B	40	11	11
6/2/2007	1023	17:03	2047	34:07:00	FF	FF	10	10	40	41	11	11
6/3/2007	1023	17:03	2047	34:07:00	19	FF	10	18	 	 	 	 
6/4/2007	1023	17:03	2047	34:07:00	37	FF	10	11	41	42	11	11
6/5/2007	1023	17:03	2047	34:07:00	1C	FF	10	19	41	43	11	11
6/6/2007	1023	17:03	2047	34:07:00	FF	FF	10	10	40	45	11	18
6/7/2007	1229	20:29	1130	18:50	18	FF	10	2D	42	47	11	1B
6/8/2007	1023	17:03	2047	34:07:00	 	 	 	 	E9	74	11	29
6/9/2007	1023	17:03	2047	34:07:00	2A	FF	10	14	44	4D	11	1B
6/10/2007	1023	17:03	2047	34:07:00	FF	FF	10	12	 	 	 	 
6/11/2007	1023	17:03	2047	34:07:00	FF	FF	10	13	45	48	11	1B
6/12/2007	1023	17:03	2047	34:07:00	26	FF	10	1C	44	4A	11	1B
6/13/2007	1023	17:03	2047	34:07:00	E4	FF	10	13	46	49	11	1B
6/14/2007	1023	17:03	2047	34:07:00	D8	FF	10	14	 	 	 	 
6/15/2007	1023	17:03	2047	34:07:00	93	24	1E	76	3E	4A	11	1B
6/16/2007	1023	17:03	2047	34:07:00	D3	FF	10	13	46	47	11	1B
6/17/2007	1023	17:03	247	4:07	18	FF	10	65	46	46	11	1B
6/18/2007	1023	17:03	2047	34:07:00	 	 	 	 	26	27	11	1B
6/19/2007	002	0:02	2047	34:07:00	18	19	64	6A	24	A6	64	1A
6/20/2007	1023	17:03	2047	34:07:00	18	19	64	64	26	29	64	1B
6/21/2007	1023	17:03	2047	34:07:00	22	A6	AC	F0	29	2B	64	1B
6/22/2007	1021	17:01	2047	34:07:00	18	19	64	64	2A	2F	64	1B
6/23/2007	1023	17:03	2047	34:07:00	18	19	64	64	2E	2F	64	1B
6/24/2007	1023	17:03	2047	34:07:00	18	19	64	64	 	 	 	 
6/25/2007	1023	17:03	2047	34:07:00	18	19	64	64	2E	14	64	1B
6/26/2007	1023	17:03	2047	34:07:00	 	 	 	 	2E	30	64	3B
6/27/2007	1019	16:59	1021	17:01	 	 	 	 	30	31	64	1B
6/28/2007	1023	17:03	2047	34:07:00	 	 	 	 	30	33	64	1B
6/29/2007	1023	17:03	2047	34:07:00	1A	1B	64	64	2F	30	64	1B
6/30/2007	1023	17:03	2047	34:07:00	 	 	 	 	2C	C0	64	1B
7/1/2007	1023	17:03	2047	34:07:00	1A	1B	64	65	 	 	 	 
7/2/2007	1023	17:03	2047	34:07:00	 	 	 	 	2C	2D	64	1B
7/3/2007	1023	17:03	2047	34:07:00	1A	1B	64	65	 	 	 	 
7/4/2007	1023	17:03	2047	34:07:00	1A	1B	64	64	 	 	 	 
7/5/2007	1023	17:03	2047	34:07:00	19	1B	64	64	30	2E	64	3B
7/6/2007	1023	17:03	1256	20:56	 	 	 	 	30	31	64	64
7/7/2007	014	0:14	2047	34:07:00	18	19	64	64	 	 	 	 
7/8/2007	1023	17:03	2047	34:07:00	18	19	64	64	2F	30	64	64
7/9/2007	1023	17:03	2047	34:07:00	 	 	 	 	2E	30	64	64
7/10/2007	1023	17:03	2047	34:07:00	19	1A	64	64	2D	2F	64	64
7/11/2007	1023	17:03	2047	34:07:00	19	1B	64	65	2D	2F	64	64
7/12/2007	1023	17:03	2047	34:07:00	F1	0F	1E	FC	 	 	 	 
7/17/2007	1962	32:42:00	357	5:57	67	4A	FE	C3	 	 	 	 
9/9/2007	1023	17:03	2047	34:07:00	 	 	 	 	2F	2F	64	1B
9/7/2008	711	11:51	2047	34:07:00	31	18	15	28	 	 	 	 
9/11/2008	967	16:07	2047	34:07:00	30	18	15	28	 	 	 	 
9/19/2008	967	16:07	2047	34:07:00	29	18	15	28	 	 	 	 
9/23/2008	967	16:07	2047	34:07:00	28	18	15	28	 	 	 	 
10/3/2008	999	16:39	2047	34:07:00	24	18	15	28	 	 	 	 
10/11/2008	999	16:39	2047	34:07:00	22	18	15	28	 	 	 	 
10/23/2008	1031	17:11	2047	34:07:00	16	18	15	28	 	 	 	 
11/15/2008	1095	18:15	2047	34:07:00	9	18	15	28	 	 	 	 
11/19/2008	1095	18:15	2047	34:07:00	8	18	15	28	 	 	 	 
11/27/2008	1095	18:15	2047	34:07:00	7	18	15	28	 	 	 	 
12/11/2008	1095	18:15	2047	34:07:00	6	18	15	28	 	 	 	 
