Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
05-21-2008	1368	22:48	2047	34:07	27	28	0F	0F	 	 	 	 
05-23-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
05-24-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
05-26-2008	2047	34:07	2047	34:07	 	 	 	 	37	3E	0E	0F
05-28-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
05-30-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-01-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-02-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-03-2008	1389	23:09	1069	17:49	 	 	 	 	 	 	 	 
06-09-2008	2047	34:07	2047	34:07	 	 	 	 	40	44	0E	1D
06-10-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-11-2008	2047	34:07	2047	34:07	 	 	 	 	42	47	0E	1D
06-12-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-13-2008	2047	34:07	2047	34:07	2D	FF	0E	12	 	 	 	 
06-17-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-19-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
06-25-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
07-03-2008	2047	34:07	2047	34:07	 	 	 	 	48	4D	0E	1D
07-05-2008	2047	34:07	2047	34:07	 	 	 	 	43	4D	0E	1D
07-12-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
07-25-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
07-28-2008	2047	34:07	2047	34:07	 	 	 	 	3F	56	0F	1A
08-02-2008	2047	34:07	2047	34:07	23	FF	0F	4F	 	 	 	 
08-03-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
08-09-2008	2047	34:07	2047	34:07	25	FF	0F	20	 	 	 	 
08-17-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
08-23-2008	2047	34:07	1109	18:29	14	FF	0F	55	 	 	 	 
08-28-2008	126	02:06	1215	20:15	 	 	 	 	 	 	 	 
08-30-2008	159	02:39	1187	19:47	21	FF	0F	5E	 	 	 	 
09-09-2008	301	05:01	701	11:41	 	 	 	 	 	 	 	 
09-11-2008	206	03:26	1025	17:05	23	FF	0F	34	 	 	 	 
09-14-2008	243	04:03	1083	18:03	22	FF	0E	56	 	 	 	 
09-21-2008	239	03:59	965	16:05	 	 	 	 	 	 	 	 
10-09-2008	367	06:07	951	15:51	 	 	 	 	 	 	 	 
10-10-2008	464	07:44	500	08:20	 	 	 	 	 	 	 	 
10-13-2008	444	07:24	900	15:00	1D	FF	0F	55	 	 	 	 
10-14-2008	460	07:40	901	15:01	 	 	 	 	 	 	 	 
10-27-2008	585	09:45	832	13:52	 	 	 	 	 	 	 	 
11-06-2008	589	09:49	849	14:09	 	 	 	 	 	 	 	 
11-09-2008	626	10:26	846	14:06	1E	BE	0E	0F	 	 	 	 
11-17-2008	2047	34:07	2047	34:07	 	 	 	 	 	 	 	 
11-20-2008	2047	34:07	001	00:01	21	A8	0E	0F	 	 	 	 
