Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	1370	22:50	2047	34:07:00	22	23	0F	0F	8C	96	0F	0
5/22/2008	532	8:52	111	1:51	1D	FF	0E	20	2F	8C	0F	0F
5/23/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	11	32	3C	0F	0F
5/24/2008	2047	34:07:00	2047	34:07:00	34	FF	0E	1B	30	3B	0F	0F
5/25/2008	2047	34:07:00	2047	34:07:00	A1	FF	0E	11	33	3B	0F	0F
5/26/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	10	35	3D	0F	0F
5/27/2008	2047	34:07:00	2047	34:07:00	AF	FF	0E	11	39	3E	0F	0F
5/28/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0E	38	3D	0F	0F
5/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	38	3B	0F	0F
5/30/2008	2047	34:07:00	2047	34:07:00	FF	FF	0E	0F	3A	3C	0F	0F
5/31/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	2E	3B	44	0F	0F
6/1/2008	120	2:00	1198	19:58	1F	FF	0E	2D	3A	42	12	13
6/2/2008	1400	23:20	1085	18:05	1F	FF	0F	2F	3A	3F	0F	18
6/3/2008	1117	18:37	1139	18:59	1F	FF	0F	2C	38	3D	0F	15
6/4/2008	794	13:14	2047	34:07:00	20	FF	0F	2B	38	3D	14	15
6/5/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	17	39	3E	14	15
6/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3D	3F	14	15
6/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3E	41	14	15
6/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3C	3E	14	15
6/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3C	3D	14	15
6/10/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	31	38	3E	14	15
6/11/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3D	40	14	15
6/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3E	3F	14	15
6/13/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	3C	41	14	15
6/14/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	40	41	14	15
6/15/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	40	42	14	15
6/16/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	40	44	14	15
6/17/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	40	45	14	15
6/18/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	26	39	47	14	15
6/19/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	43	46	14	15
6/20/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	40	44	14	15
6/21/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3B	40	14	15
6/22/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3C	40	14	15
6/23/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3F	44	14	15
6/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	40	42	14	15
6/25/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	42	44	14	15
6/26/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	43	44	14	15
6/27/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	42	45	14	15
6/28/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	43	47	14	15
6/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	45	48	14	15
6/30/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	47	4D	14	15
7/1/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	47	48	14	15
7/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	46	48	14	15
7/3/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	44	48	14	15
7/4/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	45	49	14	15
7/5/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	46	48	14	15
7/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	45	47	14	15
7/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	46	47	14	15
7/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	46	49	14	15
7/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	47	4C	14	15
7/10/2008	2047	34:07:00	2047	34:07:00	 	 	 	 	 	 	 	 
