Date/Time	Real Time	Temp	Batt.	Press	Light	Tx Cnt	Tx Mode	Midnight	SR Cnt	SS Cnt	Pop Reason	Pop Day	Pop Time
11-23-2008 18:43:18	18:41:55	58	163	15	21	1	1	22:02	3	4	6	11-23-2008	12:55
11-23-2008 20:26:36	20:25:13	58	129	15	22	14	1	22:02	3	4	6	11-23-2008	12:55
11-24-2008 00:35:32	00:34:10	57	130	15	22	0	1	22:02	4	5	6	11-23-2008	12:55
11-24-2008 02:18:04	02:16:41	57	139	15	22	7	1	22:02	4	5	6	11-23-2008	12:55
11-24-2008 02:25:59	02:24:36	57	137	15	22	8	1	22:02	4	5	6	11-23-2008	12:55
11-24-2008 03:29:35	03:28:12	56	128	15	22	16	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 04:01:21	03:59:58	56	128	15	22	20	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 04:09:18	04:07:55	56	128	15	22	21	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 06:36:03	06:34:40	54	176	15	21	23	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 06:51:57	06:50:34	54	168	15	21	25	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 07:23:42	07:22:19	54	153	15	23	29	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 07:31:40	07:30:17	54	149	15	13	30	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 08:35:14	08:33:50	54	131	15	30	6	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 08:51:07	08:49:44	54	129	15	23	8	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 11:40:40	11:39:17	54	144	15	22	16	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 11:56:32	11:55:08	54	139	15	21	18	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 12:12:23	12:11:00	54	134	15	22	20	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 12:20:20	12:18:57	54	133	15	22	21	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 12:28:18	12:26:55	54	131	15	22	22	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 12:36:16	12:34:53	54	131	15	22	23	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 13:53:56	13:52:33	55	148	15	21	27	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 14:09:48	14:08:25	55	142	15	21	29	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 14:17:46	14:16:22	55	139	15	21	30	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 14:57:26	14:56:03	55	131	15	22	3	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 15:37:08	15:35:45	55	129	15	22	8	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 18:59:32	18:58:09	55	165	15	21	17	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 20:03:05	20:01:41	54	140	15	21	25	1	22:02	4	0	6	11-23-2008	12:55
11-24-2008 22:44:37	22:43:13	54	170	15	22	0	1	22:02	4	0	6	11-23-2008	12:55
11-25-2008 02:09:30	02:08:06	54	148	15	22	20	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 02:17:25	02:16:02	54	145	15	22	21	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 03:05:07	03:03:43	53	132	15	22	27	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 03:52:47	03:51:24	53	128	15	22	1	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 07:15:14	07:13:50	53	164	15	21	10	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 07:54:55	07:53:31	53	148	15	22	15	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 08:10:52	08:09:29	53	142	15	22	17	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 08:50:34	08:49:11	53	133	15	23	22	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 08:58:30	08:57:06	53	131	15	112	23	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 08:58:30	08:57:06	53	131	15	112	23	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 11:33:06	11:31:42	53	155	15	23	29	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 12:52:37	12:51:13	53	132	15	22	7	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 13:54:31	13:53:07	53	155	15	21	9	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 14:34:12	14:32:49	53	140	15	21	14	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 14:50:07	14:48:43	53	136	15	22	16	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 15:45:40	15:44:16	53	129	15	22	23	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 16:17:25	16:16:01	53	128	15	22	27	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 20:19:36	20:18:12	53	141	15	21	9	1	22:17	5	1	6	11-23-2008	12:55
11-25-2008 20:51:20	20:49:56	53	134	15	21	13	1	22:17	5	1	6	11-23-2008	12:55
11-26-2008 01:55:52	01:54:28	52	128	15	23	6	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 02:03:50	02:02:26	52	128	15	23	7	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 02:43:32	02:42:08	51	127	15	23	12	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 03:39:12	03:37:48	51	127	15	23	19	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 03:47:09	03:45:45	51	127	15	23	20	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 04:26:52	04:25:28	51	127	15	23	25	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 05:22:29	05:21:05	51	126	15	23	0	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 06:02:13	06:00:49	51	126	15	13	5	0	22:17	6	2	6	11-23-2008	12:55
11-26-2008 06:57:50	06:56:26	51	127	15	23	12	0	22:17	6	2	6	11-23-2008	12:55
