Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
05-21-2008	1375	22:55	2047	34:07	21	21	0F	10	8A	93	10	00
05-22-2008	603	10:03	128	02:08	18	FF	0E	0F	33	8A	0F	0F
05-23-2008	2047	34:07	2047	34:07	F7	FF	0E	11	32	3C	0F	0F
05-24-2008	2047	34:07	2047	34:07	39	FF	0E	12	33	3B	0F	0F
05-25-2008	2047	34:07	2047	34:07	21	FF	0E	17	31	39	0F	0F
05-26-2008	2047	34:07	2047	34:07	28	FF	0E	13	32	3D	0F	0F
05-27-2008	2047	34:07	2047	34:07	1F	FF	0E	16	37	3C	0F	0F
05-28-2008	2047	34:07	2047	34:07	1E	FF	0E	19	39	3D	0F	0F
05-29-2008	2047	34:07	2047	34:07	1F	FF	0F	17	3B	3D	0F	0F
05-30-2008	2047	34:07	2047	34:07	FF	FF	0F	10	3C	3E	0F	0F
05-31-2008	2047	34:07	2047	34:07	E4	FF	0F	13	3C	43	0F	0F
06-01-2008	2047	34:07	2047	34:07	23	FF	0F	13	3D	41	0F	0F
06-02-2008	2047	34:07	2047	34:07	39	FF	0F	13	3D	3F	0F	0F
06-03-2008	2047	34:07	2047	34:07	1F	FF	0F	13	3D	3F	0F	0F
06-04-2008	2047	34:07	2047	34:07	93	FF	0F	11	3E	40	0F	0F
06-05-2008	2047	34:07	2047	34:07	8C	FF	0F	12	3F	41	0F	0F
06-06-2008	2047	34:07	2047	34:07	F3	FF	0F	12	40	43	0F	0F
06-07-2008	2047	34:07	2047	34:07	FF	FF	0F	10	3F	42	0F	0F
06-08-2008	2047	34:07	2047	34:07	FF	FF	0F	10	3F	40	0F	0F
06-09-2008	2047	34:07	2047	34:07	FF	FF	0F	10	3E	41	0F	0F
06-10-2008	2047	34:07	2047	34:07	FF	FF	0F	11	40	41	0F	0F
06-11-2008	2047	34:07	2047	34:07	FF	FF	0F	10	40	41	0F	0F
