Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	1381	23:01	2047	34:07:00	20	20	10	10	90	9A	10	10
5/22/2008	838	13:58	25	0:25	1B	FF	0E	14	31	92	10	10
5/23/2008	2047	34:07:00	2047	34:07:00	33	FF	0E	16	30	3A	10	10
5/24/2008	2047	34:07:00	2047	34:07:00	1D	FF	0E	1B	2F	3B	10	10
5/25/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	21	2E	3C	10	10
5/26/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	16	32	3F	10	10
5/27/2008	2047	34:07:00	1250	20:50	1D	FF	0F	18	31	3C	10	13
5/28/2008	044	0:44	2047	34:07:00	1D	FF	0F	25	2E	44	10	13
5/29/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	18	32	3D	10	13
5/30/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	16	35	3E	10	13
5/31/2008	2047	34:07:00	2047	34:07:00	23	FF	0F	16	39	45	10	13
6/1/2008	2047	34:07:00	2047	34:07:00	67	FF	0F	14	3A	40	10	13
6/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3B	3F	10	13
6/3/2008	2047	34:07:00	2047	34:07:00	1F	FF	0F	16	3B	3F	10	13
6/4/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	12	3C	4D	10	13
6/5/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3C	45	10	13
6/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3E	4E	10	13
6/7/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	1D	39	40	10	13
6/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3E	40	10	13
6/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	3E	43	10	13
6/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	3E	42	10	13
6/11/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	41	43	10	13
6/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	40	43	10	13
6/13/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	16	3F	41	10	13
6/14/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	15	3F	48	10	13
6/15/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	46	4B	10	13
6/16/2008	2047	34:07:00	2047	34:07:00	2D	FF	0F	14	40	4D	10	13
6/17/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	49	4F	10	13
6/18/2008	2047	34:07:00	2047	34:07:00	3A	FF	0F	13	42	4C	10	13
6/19/2008	2047	34:07:00	1198	19:58	1E	FF	0F	16	40	48	10	13
6/20/2008	122	2:02	2047	34:07:00	1E	FF	0F	15	3E	46	13	13
6/21/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	2D	3A	46	13	13
6/22/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	16	42	48	13	13
6/23/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	12	47	4D	13	13
6/24/2008	2047	34:07:00	2047	34:07:00	20	FF	0F	16	40	4C	13	13
6/25/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	3D	3B	4C	13	13
6/26/2008	2047	34:07:00	2047	34:07:00	1F	FF	0F	15	43	4D	13	13
6/27/2008	2047	34:07:00	2047	34:07:00	A2	FF	0F	11	45	4B	13	13
6/28/2008	2047	34:07:00	2047	34:07:00	1E	FF	0F	19	40	4D	13	13
6/29/2008	2047	34:07:00	2047	34:07:00	23	FF	10	19	41	4F	13	13
6/30/2008	2047	34:07:00	2047	34:07:00	3A	FF	10	19	3E	4D	13	13
7/1/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	2F	3B	59	13	13
7/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	11	47	50	13	13
7/3/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	4C	4E	13	13
7/4/2008	2047	34:07:00	2047	34:07:00	4A	FF	0F	11	42	4C	13	13
7/5/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	25	3C	4A	13	13
7/6/2008	2047	34:07:00	2047	34:07:00	5D	FF	0F	11	3F	48	13	13
7/7/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	43	35	49	13	13
7/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	12	46	4A	13	13
7/9/2008	2047	34:07:00	2047	34:07:00	1D	FF	0F	48	32	4A	13	13
7/10/2008	2047	34:07:00	2047	34:07:00	C0	FF	0F	14	3D	49	13	13
7/11/2008	2047	34:07:00	2047	34:07:00	1C	FF	0F	36	2F	4B	13	13
7/12/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	46	4A	13	13
7/13/2008	2047	34:07:00	2047	34:07:00	1E	FF	10	19	3A	49	13	13
7/14/2008	2047	34:07:00	2047	34:07:00	33	FF	0F	13	43	49	13	13
