10/22/2008 13:22:56	0	69.958	-40.578	66.726	-22.48
10/22/2008 13:24:24	A	69.955	-41.213	66.659	-22.344
10/22/2008 13:36:53	2	69.96	-40.594	85.915	-138.594
10/22/2008 14:24:33	2	69.957	-40.609	83.384	-119.608
10/22/2008 14:26:31	B	69.844	-40.543	83.643	-113.479
10/22/2008 15:03:45	0	69.953	-40.635	60.135	17.054
10/22/2008 15:17:11	1	69.963	-40.645	78.474	-86.842
10/22/2008 18:37:25	1	69.962	-40.673	63.819	-6.357
10/22/2008 19:25:03	A	69.974	-40.858	61.939	6.111
10/22/2008 21:58:57	B	69.958	-40.58	52.382	74.065
10/22/2008 23:31:50	2	69.94	-40.732	65.247	-66.215
10/23/2008 1:10:58	1	69.927	-40.775	72.681	-26.071
10/23/2008 1:16:27	B	69.918	-40.796	58.845	-101.314
10/23/2008 2:03:07	0	69.919	-40.772	61.104	-88.59
10/23/2008 2:53:18	2	69.915	-40.818	80.292	13.973
10/23/2008 2:58:16	1	69.914	-40.824	66.482	-60.286
10/23/2008 5:37:49	B	69.905	-40.791	57.447	-111.888
10/23/2008 6:16:01	2	69.918	-40.819	83.679	-115.985
10/23/2008 6:18:32	1	69.914	-40.837	81.063	22.735
10/23/2008 6:34:26	1	69.922	-40.798	62.225	-84.345
10/23/2008 7:08:13	1	69.924	-40.813	83.608	29.084
10/23/2008 7:19:39	1	69.927	-40.814	64.682	-70.877
10/23/2008 9:40:09	0	69.928	-40.875	83.055	-119.221
10/23/2008 9:55:33	1	69.935	-40.841	76.581	-5.111
10/23/2008 10:28:49	2	69.934	-40.855	80.14	-91.848
10/23/2008 10:41:44	1	69.935	-40.858	78.963	9.908
10/23/2008 11:18:58	1	69.933	-40.868	75.575	-72.111
10/23/2008 11:19:29	0	69.935	-40.804	61.463	6.706
10/23/2008 11:36:21	2	69.934	-40.88	84.072	40.501
10/23/2008 12:57:58	2	69.922	-40.874	68.248	-31.5
10/23/2008 14:01:32	1	69.916	-40.916	85.005	-135.077
10/23/2008 19:00:33	2	69.913	-40.95	63.252	-2.802
10/23/2008 23:20:47	2	69.91	-40.919	64.499	-70.175
10/24/2008 0:53:27	1	69.9	-40.863	58.392	-109.352
10/24/2008 1:00:24	A	69.921	-40.832	71.929	-30.053
10/24/2008 1:54:02	1	69.886	-40.919	59.91	-94.023
10/24/2008 2:34:18	1	69.89	-40.929	64.854	-69.651
10/24/2008 2:43:46	1	69.891	-40.928	79.424	9.26
10/24/2008 5:55:39	3	69.889	-40.911	79.224	10.952
10/24/2008 6:05:04	2	69.884	-40.923	84.408	-121.58
10/24/2008 6:56:12	2	69.886	-40.893	82.695	23.703
10/24/2008 6:57:42	2	69.885	-40.911	63.007	-80.448
10/24/2008 7:35:58	2	69.891	-40.879	86.404	70.097
10/24/2008 7:45:23	1	69.888	-40.88	76.636	-76.09
10/24/2008 7:53:51	1	69.892	-40.912	67.729	-52.855
