Date	SR min	SR Time	SS min	SS Time	Min Light	Max Light	Min Press	Max Press	Min Temp	Max Temp	SR Press	SS Press
5/21/2008	2047	34:07:00	2047	34:07:00	1D	1D	10	10	8D	96	0D	0E
5/22/2008	532	8:52	89	1:29	17	FF	0E	19	31	8D	10	10
5/23/2008	2047	34:07:00	2047	34:07:00	20	FF	0E	1A	2F	3B	10	10
5/24/2008	2047	34:07:00	2047	34:07:00	1A	FF	0E	41	2F	3D	10	10
5/25/2008	2047	34:07:00	2047	34:07:00	1A	FF	0E	1E	30	3C	10	10
5/26/2008	2047	34:07:00	2047	34:07:00	1A	FF	0E	1C	32	3D	10	10
5/27/2008	2047	34:07:00	2047	34:07:00	1C	FF	0E	16	37	3E	10	10
5/28/2008	2047	34:07:00	2047	34:07:00	1C	FF	0F	16	3A	3D	10	10
5/29/2008	2047	34:07:00	2047	34:07:00	1B	FF	0F	16	3A	3C	10	10
5/30/2008	1395	23:15	1019	16:59	1A	FF	0F	43	38	3D	0F	16
5/31/2008	2047	34:07:00	2047	34:07:00	19	FF	0F	37	38	43	0F	16
6/1/2008	736	12:16	451	7:31	19	FF	0F	1E	3B	42	13	17
6/2/2008	766	12:46	317	5:17	1A	FF	0F	20	3B	41	0F	17
6/3/2008	2047	34:07:00	2047	34:07:00	1A	FF	0F	1D	3C	41	0F	17
6/4/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	40	43	0F	17
6/5/2008	2047	34:07:00	2047	34:07:00	54	FF	0F	15	3F	44	0F	17
6/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	42	44	0F	17
6/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	41	45	0F	17
6/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	42	45	0F	17
6/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	43	44	0F	17
6/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	41	44	0F	17
6/11/2008	2047	34:07:00	2047	34:07:00	26	FF	0F	13	41	48	0F	17
6/12/2008	2047	34:07:00	2047	34:07:00	C7	FF	0F	11	44	46	0F	17
6/13/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	43	45	0F	17
6/14/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	42	47	0F	17
6/15/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	42	47	0F	17
6/16/2008	2047	34:07:00	2047	34:07:00	B5	FF	0F	15	43	46	0F	17
6/17/2008	2047	34:07:00	2047	34:07:00	21	FF	0F	14	43	4A	0F	17
6/18/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	49	4A	0F	17
6/19/2008	2047	34:07:00	2047	34:07:00	1B	FF	0F	21	41	4A	0F	17
6/20/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	47	4A	0F	17
6/21/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	47	49	0F	17
6/22/2008	2047	34:07:00	2047	34:07:00	44	FF	0F	15	46	4A	0F	17
6/23/2008	2047	34:07:00	2047	34:07:00	1B	FF	0F	19	46	4D	0F	17
6/24/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	4B	4D	0F	17
6/25/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	11	4B	4E	0F	17
6/26/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	49	4E	0F	17
6/27/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	4D	4E	0F	17
6/28/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	4C	50	0F	17
6/29/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	4E	51	0F	17
6/30/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	4F	50	0F	17
7/1/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	4F	53	0F	17
7/2/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	0F	51	52	0F	17
7/3/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	51	53	0F	17
7/4/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	52	53	0F	17
7/5/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	51	52	0F	17
7/6/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	4F	52	0F	17
7/7/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	51	52	0F	17
7/8/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	51	53	0F	17
7/9/2008	2047	34:07:00	2047	34:07:00	FF	FF	0F	10	51	56	0F	17
7/10/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	54	58	0F	17
7/11/2008	2047	34:07:00	2047	34:07:00	FF	FF	10	10	56	57		
14-07-2008	1791	29:51:00	1535	25:35:00	 	 	 	 	 	 		
