Date/Time	Real Time	Temp	Batt.	Press	Light	Tx Cnt	Tx Mode	Midnight	SR Cnt	SS Cnt	Pop Reason	Pop Day	Pop Time
6/28/2008 7:55	07:53:56	77	155	15	255	0	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 8:03	08:02:00	77	152	15	255	1	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 8:11	08:10:00	78	148	15	255	2	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 9:15	09:13:59	77	136	15	255	10	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 9:39	09:37:58	77	135	15	255	13	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 10:03	10:01:58	78	135	15	255	16	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 10:51	10:49:55	78	135	15	255	22	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 10:59	10:57:55	78	135	15	255	23	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 11:14	11:13:54	78	135	15	255	25	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 11:38	11:37:53	78	135	15	255	28	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 11:38	11:37:53	78	135	15	255	28	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 11:54	11:53:52	79	135	15	255	30	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 12:02	12:01:52	79	135	15	255	31	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 12:34	12:33:50	79	135	15	255	3	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 12:58	12:57:52	79	135	15	255	6	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 13:14	13:13:51	79	135	15	255	8	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 13:22	13:21:51	79	135	15	255	9	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 13:38	13:37:50	79	135	15	255	11	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 14:18	14:17:51	79	135	15	255	16	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 14:58	14:57:49	80	135	15	255	21	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 15:06	15:05:49	80	135	15	255	22	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 15:14	15:13:50	79	135	15	255	23	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 15:54	15:53:48	79	136	15	255	28	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 16:18	16:17:45	79	135	15	255	31	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 16:42	16:41:44	79	135	15	255	2	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 16:58	16:57:44	79	135	15	255	4	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 17:30	17:29:45	79	135	15	255	8	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 17:38	17:37:44	79	135	15	255	9	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 17:54	17:53:44	79	135	15	255	11	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 18:26	18:25:43	79	135	15	255	15	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 20:18	20:17:41	78	135	15	255	29	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 20:58	20:57:40	78	136	15	255	2	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 22:34	22:33:35	78	136	15	255	14	0	0:30	15	15	6	6/28/2008	3:52
6/28/2008 23:38	23:37:33	78	136	15	255	22	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 1:22	01:21:33	78	136	15	255	3	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 2:58	02:57:28	78	136	15	255	15	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 3:06	03:05:28	78	137	15	255	16	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 4:10	04:09:26	78	136	15	255	24	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 4:42	04:41:26	78	136	15	255	28	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 6:26	06:25:21	78	136	15	255	9	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 6:26	06:25:21	78	136	15	255	9	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 7:30	07:29:18	78	136	15	255	17	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 7:38	07:37:18	78	137	15	255	18	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 8:10	08:09:19	78	137	15	255	22	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 9:14	09:13:18	79	137	15	255	30	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 9:46	09:45:16	79	137	15	255	2	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 9:46	09:45:16	79	137	15	255	2	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 9:54	09:53:16	79	137	15	255	3	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 10:50	10:49:17	79	138	15	255	10	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 11:30	11:29:15	79	138	15	255	15	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 11:30	11:29:15	79	138	15	255	15	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 11:38	11:37:16	79	138	15	255	16	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 12:18	12:17:17	79	138	15	255	21	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 12:34	12:33:18	79	138	15	255	23	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 13:06	13:05:17	79	138	15	255	27	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 13:14	13:13:17	79	138	15	255	28	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 13:22	13:21:16	79	139	15	255	29	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 13:54	13:53:15	79	139	15	255	1	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 14:50	14:49:13	79	139	15	255	8	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 14:58	14:57:13	80	139	15	255	9	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 15:30	15:29:13	80	139	15	255	13	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 15:54	15:53:13	80	139	15	255	16	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 16:34	16:33:12	80	140	15	255	21	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 16:34	16:33:12	80	140	15	255	21	0	0:30	15	15	6	6/28/2008	3:52
6/29/2008 17:14	17:13:13	81	140	15	255	26	0	0:30	15	15	6	6/28/2008	3:52
